State | City | Name | Description
MISSISSIPPI | NATCHEZ | R. S. McCLURE. | Loans on notes and other securities.
MISSISSIPPI | NATCHEZ | STEPHEN DUNCAN. | Inherited. Son of the late Dr. Stephen Duncan, one of the largest and wealthiest planters in the South.
MISSOURI | HANNIBAL | JOHN GARTH. | Manufacturing and selling lumber.
MISSOURI | JOPLIN | J. C. LERCY. | Made in the ownership of land, which turned out to have a zinc mine.
MISSOURI | KANSAS CITY | S. B. ARMOUR (of Armour Brothers Packing Company). | Packing beef and pork.
MISSOURI | KANSAS CITY | A. W. ARMOUR (of Armour Brothers’ Packing Company). | Packing beef and pork.
MISSOURI | KANSAS CITY | VICTOR B. BUCK. | Merchandising boots and shoes and rise in real estate.
MISSOURI | KANSAS CITY | KERSEY COATES. | Hotel and rise in real estate.
MISSOURI | KANSAS CITY | J. C. GATES. | Merchandising boots and shoes, and rise in real estate.
MISSOURI | KANSAS CITY | W. E. HALL. | Rise in value of real estate.
MISSOURI | KANSAS CITY | JAMES F. HOLMES. | Rise in value of real estate.
MISSOURI | KANSAS CITY | ALBERT MARTY. | Rise in value of real estate.
MISSOURI | KANSAS CITY | JAMES B. PORTER. | Rise in value of real estate.
MISSOURI | KANSAS CITY | L. J. PORTER. | Rise in value of real estate.
MISSOURI | ST. JOSEPH | MRS. KATE TOOTLE. | Made by her husband, the late Milton Tootle, in wholesale drygoods and real estate investments.
MISSOURI | ST. JOSEPH | MISS FANNIE TOOTLE. | Inherited from her father, Milton Tootle. Made in merchandising and real estate.
MISSOURI | ST. JOSEPH | MILTON TOOTLE, JR. | Inherited from his father, Milton Tootle. Made in merchandising and real estate.
MISSOURI | ST. JOSEPH | JOHN TOOTLE. | Inherited from Milton Tootle. Made in merchandising and real estate.
MISSOURI | ST. JOSEPH | JAMES McCORD, SR. | Made in wholesale grocery business.
MISSOURI | ST. JOSEPH | A. N. SCHUSTER. | Wholesale clothing and private banking. He is also a partner in stores in Hannibal, Mo.; Colorado, Texas; Pueblo, Colo.; and Marysville, Kan. President of the Schuster-Hax National Bank.
MISSOURI | ST. JOSEPH | JOHN S. LOGAN. | Made in mines.
MISSOURI | ST. JOSEPH | RUFUS L. McDONALD (of R. L. McDonald & Co.). | Manufacturing woollen and duck wear. Largest manufacturer of this class of goods in the West. Also merchandising drygoods and notions.
MISSOURI | ST. JOSEPH | WILLIAM M. WYETH. | President of Wyeth Hardware and Manufacturing Co. Made in manufacturing.
MISSOURI | ST. JOSEPH | J. C. PRYOR. | Made in cattle-raising.
MISSOURI | ST. JOSEPH | WILLIAM G. FAIRLEIGH. | Merchandising, drygoods and investments.
MISSOURI | ST. JOSEPH | GEORGE T. HOAGLAND. | Made in lumber trade and money-lending.
MISSOURI | ST. JOSEPH | DUDLEY M. STEELE. | Wholesale groceries and land. He is a partner in stores in Wichita and Omaha, also.
MISSOURI | ST. JOSEPH | CHARLES B. FRANCE. | Banking and investments. President of the State National Bank.
MISSOURI | ST. JOSEPH | LOUIS HAX. | Of the Louis Hax Furniture Company. Made in merchandising carpets, the manufacture of furniture and banking. President of the Central Savings Bank.
MISSOURI | ST. JOSEPH | N. P. OGDEN. | Banking and investments in real estate. President of the Commercial National Bank.
MISSOURI | ST. JOSEPH | THOMAS E. TOOTLE. | Wholesale drygoods.
MISSOURI | ST. JOSEPH | CALVIN F. BURNES. | Law practice, real estate investments, and banking. President of the National Bank of St. Joseph.
MISSOURI | ST. JOSEPH | JAMES N. BURNES. | Made in real estate investments. Daniel D. Burnes and Calvin C. Burnes are legatees.
MISSOURI | ST. JOSEPH | ABRAM NAVE. | Wholesale groceries.
MISSOURI | KANSAS CITY | ISAAC N. RIDGE. | Rise in real estate.
MISSOURI | KANSAS CITY | GEORGE SHEIDLEY. | Rise in real estate.
MISSOURI | KANSAS CITY | LAMON V. HARKNESS (of Harkness, Wyman & Russell). | Banking; he is worth several millions.
MISSOURI | KANSAS CITY | ADAM LONG. | First in wholesale groceries (firm of Long Brothers); then in profitable investments in real estate.
MISSOURI | KANSAS CITY | JOHN LONG. | First in wholesale groceries (firm of Long Brothers); then in profitable investments in real estate.
MISSOURI | KANSAS CITY | GEORGE FOWLER. | Packing meats. The firm of George Fowler & Sons have a plant worth several millions.
MISSOURI | KANSAS CITY | DAVID T. EALS. | Stock ranches, cattle-raising and investments.
MISSOURI | KANSAS CITY | A. L. MASON. | General merchandising and rise in real estate.
MISSOURI | KANSAS CITY | THOMAS H. SWOPE. | Made in rise in real estate.
MISSOURI | KANSAS CITY | THOMAS CORRIGAN. | Street railroad franchises and real estate.
MISSOURI | KANSAS CITY | GEORGE F. WINTER. | Rise in real estate.
MISSOURI | KANSAS CITY | W. S. WOODS. | Banking and stock-raising in South Dakota.
MISSOURI | KANSAS CITY | WILSON WADDINGHAM. | Cattle-raising and stock ranches.
MISSOURI | ST. LOUIS | WILLIAM D. GRISWOLD. | Real estate and investments.
MISSOURI | ST. LOUIS | CHARLES CLARK. | Mining properties.
MISSOURI | ST. LOUIS | CHARLES McCLURE. | Granite Mountain mines.
MISSOURI | ST. LOUIS | SAMUEL CUPPLES (of Samuel Cupples Woodenware Co.). | Manufacturing woodenware.
MISSOURI | ST. LOUIS | HUGH McKITTRICK (of the Hargadine-McKittrick Drygoods Co.). | Drygoods.
MISSOURI | ST. LOUIS | W. A. HARGADINE (of last above). | Drygoods.
MISSOURI | ST. LOUIS | WILLIAM J. LEMP. | Proprietor of Lemp’s Western Brewery. Made in that business.
MISSOURI | ST. LOUIS | ADOLPHUS BUSCH (of Anheuser-Busch Brewing Association). | Brewing fine beers.
MISSOURI | ST. LOUIS | W. F. NOLKER. | Brewing.
MISSOURI | ST. LOUIS | WILLIAM BARR (of the William Barr Drygoods Co.). | Wholesale and retail drygoods and investments.
MISSOURI | ST. LOUIS | C. F. G. MYER. | Wholesale drugs.
MISSOURI | ST. LOUIS | JOHN T. DAVIS (of Samuel C. Davis & Co.). | Wholesale drygoods.
MISSOURI | ST. LOUIS | JOHN WHITTAKER (of Francis Whittaker & Sons). | Packing meats.
MISSOURI | ST. LOUIS | L. M. RUMSEY (of the L. M. Rumsey Mfg. Co.). | Manufacturing machine pumps and mining machinery.
MISSOURI | ST. LOUIS | MOSES RUMSEY (of last above). | Manufacturing machine pumps and mining machinery.
MISSOURI | ST. LOUIS | JOHN R. LIONBERGER. | Mining and banking.
MISSOURI | ST. LOUIS | E. C. STERLING. | Brick manufacturer.
MISSOURI | ST. LOUIS | GERARD B. ALLEN. | Iron manufacturing and steamboats.
MISSOURI | ST. LOUIS | JOHN J. MITCHELL. | Railroads, principally the Chicago and Alton.
MISSOURI | ST. LOUIS | OLIVER HART. | Made in real estate and coal lands.
MISSOURI | ST. LOUIS | GEORGE E. LEIGHTON. | Iron foundry business and real estate speculations.
MISSOURI | ST. LOUIS | GILBERT CHAPMAN. | Iron foundry business and lumber.
MISSOURI | ST. LOUIS | MRS. JULIA MAFFITT. | Made in the Indian trade and real estate investments by Pierre Chouteau, in early days.
MISSOURI | ST. LOUIS | CHARLES P. CHOUTEAU. | Made in Indian trade and real estate investments in early days.
MISSOURI | ST. LOUIS | GOVERNOR D. R. FRANCIS. | Grain options, etc.
MISSOURI | ST. LOUIS | W. H. PECK. | Made in contracting, building and insurance.
MISSOURI | ST. LOUIS | JOHN A. SCUDDER. | Steamboating on the rivers.
MISSOURI | ST. LOUIS | M. TYLER. | Made in rise in real estate.
MISSOURI | ST. LOUIS | J. J. ROE. | Made a fortune in packing meats.
MISSOURI | ST. LOUIS | ROBERT CAMPBELL. | Made in banking and brokerage business.
MISSOURI | ST. LOUIS | ERASMUS WELLS. | Street railroads.
MISSOURI | ST. LOUIS | J. B. M. KEHLOR (of Kehlor Brothers). | Laclede flour mills.
MISSOURI | ST. LOUIS | JOHN SCULLIN. | Street railroads.
MISSOURI | ST. LOUIS | JAMES T. DRUMMOND (of the Drummond Tobacco Company). | Tobacco manufacturing.
MISSOURI | ST. LOUIS | DANIEL CATLIN (of Catlin Tobacco Company). | Tobacco manufacturing.
MISSOURI | ST. LOUIS | JAMES E. LIGGITT (of the Liggitt & Myers Tobacco Company). | Tobacco manufacturing.
MISSOURI | ST. LOUIS | GEORGE S. MYERS (of last above). | Tobacco manufacturing.
MISSOURI | ST. LOUIS | MRS. SAMUEL L. VINING. | Inherited. Awarded to her from French Spoliation Claims. Made originally in shipping and foreign trade.
MISSOURI | ST. LOUIS | JOSEPH WELL. | Drygoods business and real estate investments.
MISSOURI | ST. LOUIS | ROBERT A. BARNES. | Merchandising and real estate.
MISSOURI | ST. LOUIS | HENRY SHAW. | Made a large fortune in the importation and sale of hardware, in which business he was engaged for twenty years; and in the purchase at low price of downtown and suburban real estate, which has now become valuable.
MISSOURI | ST. LOUIS | MRS. THOMAS ALLEN. | Made in the Iron Mountain Railroad and in various investments, including mines.
MISSOURI | ST. LOUIS | WILLIAM R. ALLEN. | From his father, Thomas Allen. Made in railroads and investments.
MISSOURI | ST. LOUIS | MISS ANNE ALLEN. | Same as the last.
MISSOURI | ST. LOUIS | MRS. CHARLES ATWATER. | From her father, Thomas Allen. Made in railroads mainly.
MONTANA | CITY OF BOZEMAN | NELSON STORY. | Made in stock-raising, real estate, banking and a variety of enterprises. President of the Gallatin Valley National Bank.
MONTANA | BUTTE CITY | W. A. CLARK. | Made a large fortune in banking, reduction and mines. Also in forwarding.
MONTANA | BUTTE CITY | S. E. LARABIE. | Banking. He has made a large fortune.
MONTANA | BUTTE CITY | ANDREW J. DAVIS. | Made a fortune of about ten millions in mines, real estate and banking. Was president of the Silver Bow Bank.
MONTANA | BUTTE CITY | MARCUS DALY. | Gold and silver mines, smelting and banking. He also has a large interest in the profitable Anaconda copper mines.
MONTANA | DEER LODGE | CHARLES X. LARABIE. | Banking and mining. He has made a large fortune.
MONTANA | FORT BENTON | ISAAC G. BAKER (of Isaac G. Baker & Co.). | Merchandising, forwarding and banking.
MONTANA | HELENA | THOMAS C. POWER. | Made in freighting, contracting for supplies to United States posts, banking, cattle-raising, etc. President of the American National Bank.
MONTANA | HELENA | SAMUEL T. HAUSER. | Mostly made in banking. President of the First National Bank.
MONTANA | HELENA | C. A. BROADWATER. | Freighting, contracting for supplies to United States posts, cattle-raising, banking, hotel and real estate investments. He had a large interest in mines and president of the Montana National Bank.
MONTANA | HELENA | C. W. CANNON. | Rise in value of real estate.
MONTANA | HELENA | THOMAS CRUSE. | Mostly in mining and banking. President of the Thomas Cruse Savings Bank. He sold his mines to an English syndicate for over a million dollars.
MONTANA | HELENA | WILLIAM A. CHESSMAN. | Rise in value of local real estate.
MONTANA | HELENA | R. S. HALE. | Mines, water and drug store.
MONTANA | HELENA | A. M. HOLTER. | The sale of hardware, and local mines.
MONTANA | MISSOULA | E. L. BONNER. | The sale of lumber, banking, etc.
MONTANA | MISSOULA | A. B. HAMMOND. | Made in the sale of lumber, and banking.
MONTANA | MISSOULA | C. P. HIGGINS. | Merchandising and banking.
NEBRASKA | CITY OF BEATRICE | JOHN W. KILPATRICK (of Kilpatrick Bros. & Collins). | Railroad contracting chiefly. He built the Central Pacific, or a large part of it.
NEBRASKA | FALLS CITY | S. B. MILES. | Made his start in a pony express from the Missouri River to the far West, and then invested everything in the purchase of low-priced lands in Eastern Nebraska and Eastern Kansas, of which he has about 80,000 acres which has increased greatly in value. He leases part of the land and farms the rest, raising a large amount of grain and stock.
NEBRASKA | LINCOLN | H. T. CLARK. | Chiefly made in merchandising.
NEBRASKA | LINCOLN | JOHN FITZGERALD. | Made a large fortune in contracting, railroad building, etc. He is president of the First National Bank.
NEBRASKA | NEBRASKA CITY | ISAAC COE. | Tie contracting, cattle raising, etc.
NEBRASKA | OMAHA | FREDERICK KRUG. | Made in brewing and real estate.
NEBRASKA | OMAHA | S. P. MORSE. | Made in drygoods.
NEBRASKA | OMAHA | WILLIAM A. PAXTON. | Army supplies, contracting, cattle, real estate and banking. He is president of the Union Trust Company. An officer in the Union Stock Yards Bank, Paxton and Vierling Iron Works, Union Stock Yards Company, First National Bank and South Omaha Land Company.
NEBRASKA | OMAHA | JOHN A. CREIGHTON. | Contracting, building Western Union Telegraph lines, cattle raising, real estate, and vice-president of First National Bank.
NEBRASKA | OMAHA | GEORGE E. BARKER. | President of Bank of Commerce. Banking and real estate.
NEBRASKA | OMAHA | BYRON REED. | Made in real estate investments.
NEBRASKA | OMAHA | SAMUEL E. ROGERS. | Made in real estate investments.
NEBRASKA | OMAHA | HERMAN KOUNTZE. | Made a large fortune in real estate and banking. President of the First National Bank.
NEBRASKA | OMAHA | GUY C. BARTON. | Made in part in cattle raising, but chiefly smelting and refining, etc. President of the Omaha and Grant Smelting and Refining Company. Vice-president of the Omaha Street Railway Company.
NEBRASKA | OMAHA | DR. S. D. MERCER. | Made principally in purchases of low-priced real estate which afterward rose in value; electric and cable street railroads in Omaha and other cities in Nebraska; and silent partner in several mercantile houses. Owner of one of the largest hotels in the city.
NEBRASKA | OMAHA | H. T. CLARKE. | Merchandising, contracting, stock raising, farming and advance in value of lands.
NEBRASKA | OMAHA | FRANK MURPHY. | Banking, street railroads, gas-works, real estate, etc. President of the Omaha Street Railroad Company and the Omaha Gas Manufacturing Company.
NEBRASKA | OMAHA | ANDREW J. POPPLETON. | Law practice and real estate. He was formerly the attorney of the Union Pacific Railroad.
NEBRASKA | OMAHA | JOSEPH MILLARD. | Banking and real estate. President of the Omaha National Bank. Director in the Union Pacific Railroad.
NEBRASKA | OMAHA | J. A. HORBACH. | Advance in value of real estate.
NEBRASKA | OMAHA | A. J. HANSCOM. | Real estate.
NEBRASKA | OMAHA | B. F. SMITH. | Investments in real estate.
NEW HAMPSHIRE | CITY OF ANDOVER | JOHN PROCTOR. | Made a fortune in manufacturing screws.
NEW HAMPSHIRE | CLAREMONT | JOHN L. FARWELL. | Made in real estate, railroads and banking. President of Claremont National Bank and Treasurer of Sullivan Savings Institution.
NEW HAMPSHIRE | CONCORD | NATHANIEL WHITE. | Began life as a stage driver. Then in the United States and Canada Express Company, which consolidated with the American Express Company and gave him a fortune.
NEW HAMPSHIRE | CONCORD | JAMES R. HILL. | Manufacture of harness and contracts therefor with the Government, and investments in lots and buildings in Concord.
NEW HAMPSHIRE | DOVER | JONATHAN SAWYER. | Made in manufacturing woollen goods.
NEW HAMPSHIRE | LANCASTER | GEORGE VAN DYKE. | Sawmills, lumber and timber lands.
NEW HAMPSHIRE | LISBON | WILLIAM H. CUMMINGS. | Banking, lumbering and manufacturing.
NEW HAMPSHIRE | MANCHESTER | ARETAS BLOOD. | Made a large fortune in building the Amoskeag fire engines and locomotives. Controlling owner of the Manchester Locomotive Works. President of the Second National Bank.
NEW HAMPSHIRE | PORTSMOUTH | E. H. WINCHESTER (of Main & Winchester). | Harness manufacturing here, and real estate investments in San Francisco.
NEW HAMPSHIRE | PORTSMOUTH | FRANK JONES. | Began life as a pedler. Went into brewing and made a great fortune. Has invested in banks, railroads, etc. President of the Boston and Maine Railroad.
NEW HAMPSHIRE | PORTSMOUTH | CHARLES A. SINCLAIR. | In brewing business with Frank Jones. Has also made much money in railroads.
NEW HAMPSHIRE | ROCHESTER | E. G. WALLACE (of E. G. & E. Wallace). | Tanning and leather, and manufacturing boots and shoes.
NEW HAMPSHIRE | ROCHESTER | EDWIN WALLACE (of E. G. & E. Wallace). | Tanning and leather, and manufacturing boots and shoes. President of the Rochester Loan and Banking Company.
NEW HAMPSHIRE | TILTON | CHARLES E. TILTON. | Made several millions in the wholesale liquor business in New-York City; then in banking in Portland, Ore.; and in railroads and other enterprises.
NEW JERSEY | ASBURY | DAVID RUNKLE. | Iron manufacturing. Was president and principal owner of the Warren foundry of cast-iron pipe at Phillipsburg, N. J.; one of the founders and directors of the Thomas Iron Company; and owner in gas and water works, etc.
NEW JERSEY | ASBURY PARK | JAMES A. BRADLEY. | Partly in the manufacture of brushes; but mainly in the development of the real estate and hotel interests of Asbury Park.
NEW JERSEY | BUTLER VILLAGE | GENERAL FRANCIS S. KINNEY. | Manufacturing cigarettes and investments in real estate in New-York City and in New-Jersey. Has half a million of property on Broadway alone. Director of the American Tobacco Company.
NEW JERSEY | BERNARDSVILLE | MRS. J. COLEMAN DRAYTON. | From the Astors of New-York. Made in real estate investments.
NEW JERSEY | BAYONNE | SOLON HUMPHREYS (E. D Morgan & Co., New-York). | Importing tea, sugar and coffee, and banking and negotiation of bonds. Has many investments in street railways, local bonds, etc. John T. Terry and Mr. Humphreys are now the only partners in the old firm. Director in the Peoria and Pekin Union Railway, Pittsburg and Western Railroad, etc., etc.
NEW JERSEY | BAYONNE | GARRET WINANTS. | City contracting, real estate and railroads.
NEW JERSEY | BAYONNE | RUFUS STORY. | Grain business, large transactions in pepper and spices, and real estate.
NEW JERSEY | BLAIRSTOWN | JOHN I. BLAIR. | Contracting, railroad building and banking. He is in the Chicago and Northwestern Railroad; New-York, Susquehanna and Western Railroad; New-York, Lackawanna and Western Railroad; Oregon Pacific Railroad; Delaware, Lackawanna and Western Railroad, and many other enterprises.
NEW JERSEY | CAMDEN | SAMUEL C. COOPER. | Inherited. Made in real estate and stocks.
NEW JERSEY | EAST ORANGE | MRS. WILLIAM M. FRANKLIN. | From her father, Israel Sheldon. Made in Western lands and gas stocks. Her husband is president of the People’s Bank.
NEW JERSEY | EAST ORANGE | CHARLES A. STERLING. | In the National Storage Company, of which he is president, succeeding his father in that place.
NEW JERSEY | ELIZABETH | COLONEL JOHN KEAN. | Inherited in part. Added to his fortune by investments in gas and water works, real estate and railroads, which have risen in value. He is president of the National State Bank and was for years vice-president of the Central Railroad of New-Jersey.
NEW JERSEY | ELIZABETH | MRS. JOHN KEAN. | Inherited from the Fish estate, in New-York. Made in real estate.
NEW JERSEY | ELIZABETH | JOHN DAVIDSON. | Law practice; real estate investments in New-York, Brooklyn and elsewhere; and railroads and other investments.
NEW JERSEY | ENGLEWOOD | HON. WILLIAM WALTER PHELPS. | Partly inherited from his father, a large drygoods merchant. Added to by himself by purchases of real estate along the Northern Railroad of New-Jersey, where he has established several villages; and by investments in railroads, securities, etc. Director in the National City Bank, New York; United States Trust Company, etc.
NEW JERSEY | ENGLEWOOD | MRS. WILLIAM WALTER PHELPS. | Inherited from her father, James E. Sheffield, of New-Haven, wholesale merchant of clothing and investor in railroads, etc.
NEW JERSEY | ENGLEWOOD | DONALD MACKAY (of Vermilye & Co., bankers, New-York City). | Made in banking and numerous investments. Director in the Atlantic Trust Company, Merchants’ National Bank, New-York Stock Exchange Building Company, etc., etc. President of the Citizens’ National Bank of Englewood.
NEW JERSEY | ENGLEWOOD | MRS. JOHN VAN BUREN. | Inherited. Made in law practice and real estate chiefly.
NEW JERSEY | ENGLEWOOD | E. A. BRINCKERHOFF. | Cotton manufacturing. He was one of the first to establish cotton mills in the South. Part of his fortune comes through his wife by inheritance.
NEW JERSEY | HARRISON | STEWART HARTSHORNE. | Made in manufacturing shade rollers, patented.
NEW JERSEY | HACKENSACK | CHRISTIAN ZABRISKIE. | Made in rise in value of real estate and investments.
NEW JERSEY | HACKENSACK | JOHN L. MOORE. |
NEW JERSEY | HOBOKEN | JOHN STEVENS. | Acquired by his father, the late Edwin A. Stevens, in the Hoboken Ferry Company and in railroad enterprises, and in the rise in value of a large quantity of water frontage and land, inherited from Colonel John Stevens. Edwin A. Stevens was president of the Hoboken Ferry Company.
NEW JERSEY | HOBOKEN | ROBERT L. STEVENS. | Inherited from Edwin A. Stevens. Director in the Hoboken Ferry Company.
NEW JERSEY | HOBOKEN | C. ALBERT STEVENS. | Mainly inherited from Edwin A. Stevens.
NEW JERSEY | HOBOKEN | RICHARD STEVENS. | Same as last above.
NEW JERSEY | HOBOKEN | MRS. EDWIN A. STEVENS. | From her husband. Made as above.
NEW JERSEY | HOBOKEN | JOSEPH L. LEWIS. | Fortune made in the West Indies, in part, and by the closest economy and purchase of securities here. He left $1,000,000 to the United States Government to help pay the National debt.
NEW JERSEY | HOLLYWOOD | JOHN HOEY. | Made in the Adams Express Company of which he was president for many years; railroads; and real estate improvement at Hollywood. Director in the Chicago Junction Railways and Stock Yards Company.
NEW JERSEY | HIGHLANDS | BENJAMIN HARTSHORNE. | Partly made in California in coasting vessels, but largely the result of rise in value of lands near the Highlands of Neversink, N. J.
NEW JERSEY | JERSEY CITY | GEORGE R. McKENZIE. | Made in the manufacture of Singer sewing machines, patented.
NEW JERSEY | JERSEY CITY | CHARLES G. SISSON. | Groceries, railroad building, railroad stocks, and real estate. He was largely interested in New-Jersey railroads. He built the Northern Railroad of New-Jersey and owned the largest part of its stock.
NEW JERSEY | JERSEY CITY | CORNELIUS V. TRAPHAGEN. | One of the first settlers of Jersey City, and at his death one of its wealthiest citizens. His fortune was made chiefly in advance in value of real estate, of which he owned large tracts.
NEW JERSEY | LAKEWOOD | CAPT. S. D. DAVIS. | Banking in New-York City, and local investments at Lakewood.
NEW JERSEY | LAKEWOOD | FRANCIS P. FREEMAN. | Made in brokerage and banking in New-York City; real estate at Lakewood, etc. Director in the New-York and Harlem Railroad.
NEW JERSEY | MONTCLAIR | WILLIAM W. EGBERT. | Made in stock speculation, brokerage business and rise in the value of real estate. He is a member of the New York Stock Exchange.
NEW JERSEY | MORRISTOWN | HENRY S. VAN BUREN. | Inherited. Made in New-York real estate.
NEW JERSEY | MORRISTOWN | FREDERICK VAN BUREN. | Inherited. Made in New-York real estate.
NEW JERSEY | MORRISTOWN | GEORGE J. KIP. | Banking in New-York and real estate in Denver and Omaha.
NEW JERSEY | MORRISTOWN | R. KISSELL. | A relative of Vanderbilt family. Made in railroads and stocks.
NEW JERSEY | MORRISTOWN | JOHN T. FOOTE. | Distilling, and Cincinnati real estate.
NEW JERSEY | MORRISTOWN | GEORGE F. STONE. | Railroads and stocks.
NEW JERSEY | MORRISTOWN | SAMUEL I. HUNT. |
NEW JERSEY | MORRISTOWN | JOHN H. SWIFT. | Manufacturing hats and caps.
NEW JERSEY | MORRISTOWN | CORNELIUS FELLOWES. | Inherited from his father, William Fellowes, of New-York. Director in the Equitable Manufacturing and Electric Company.
NEW JERSEY | MORRISTOWN | RUFUS B. GRAVES. | Merchandise and cotton.
NEW JERSEY | MORRISTOWN | MRS. AUGUSTUS S. VAN WICKLE. | From her father, Ario Pardee, of Hazleton, Penn., who made a fortune of more than $10,000,000 in hard and soft coal mines, iron mines, and lumber.
NEW JERSEY | MADISON | WILLIAM HAYWARD GIBBONS. | Largely inherited. Money made mostly in real estate.
NEW JERSEY | NEWARK | BENJAMIN ATHA. | Manufacturing steel.
NEW JERSEY | NEWARK | EDWARD BALLBACK. | Smelting ores.
NEW JERSEY | NEWARK | JOHN RADEL. | Made in Newark and South Orange street railroad, and investments.
NEW JERSEY | NEWARK | EUGENE VANDERPOOL (president of the Newark Gas Light Company). | Made his fortune in gas-works, etc.
NEW JERSEY | NEWARK | EX-GOVERNOR MARCUS L. WARD. | Made in real estate largely.
NEW JERSEY | NEWARK | EDWIN LESTER. | Made in manufacturing agricultural implements.
NEW JERSEY | NEWARK | WILLIAM CLARK. | Made in manufacturing Clark’s thread.
NEW JERSEY | NEWARK | JAMES CLARK. | Made in manufacturing thread.
NEW JERSEY | NEWARK | JOHN H. BALLANTINE (of P. Ballantine & Sons). | Brewing. Largely inherited from Peter Ballantine.
NEW JERSEY | NEWARK | ROBERT F. BALLANTINE (with his brother, the sole partner in P. Ballantine & Sons). | Brewing. Largely inherited from Peter Ballantine.
NEW JERSEY | NEWARK | MRS. PETER B. BALLANTINE. | Brewing. Largely inherited from Peter Ballantine.
NEW JERSEY | NEWARK | GOTTFRIED KRUEGER. | Brewing and real estate.
NEW JERSEY | NEWARK | JOSEPH HENSLER. | Brewing and real estate.
NEW JERSEY | NEWARK | A. L. DENNIS. | Loans on mortgage, real estate, stocks and bonds, railroads, etc. Director in the Pennsylvania Railroad and president of a plank-road company.
NEW JERSEY | NEWARK | INSLEE A. HOPPER. | In manufacturing Singer sewing machines, silk mills, banks, etc. His wife was a daughter of Isaac M. Singer.
NEW JERSEY | NEWARK | THOMAS T. KINNEY. | Publishing “The Newark Advertiser,” and investment of profits in real estate and securities.
NEW JERSEY | NEWARK | STAFFORD R. W. HEATH. |
NEW JERSEY | NEWARK | BERNARD M. SHANLEY. | Contracting and building.
NEW JERSEY | NEWARK | MRS. CHRISTIAN TREY. | Made in brewing and real estate.
NEW JERSEY | NEWARK | JOHN H. CASE. | Insurance business and president of Firemen’s Insurance Company.
NEW JERSEY | NEWARK | JOHN BRISBIN. | Law practice and railroads.
NEW JERSEY | NEWARK | JACOB SHINKLE. | Merchandising, and real estate investments.
NEW JERSEY | NEWARK | THEODORE MACKNET. | Partly inherited from his father, Charles Macknet, who had the largest business in wholesale and retail hardware in the city. The son carried on the business many years, and invested largely in financial institutions. Was president of National State Bank, and once of Mutual Benefit Life Insurance Company.
NEW JERSEY | NEWARK | MRS. FREDERICK T FRELINGHUYSEN. | Inherited.
NEW JERSEY | NEW-BRUNSWICK | CHRISTOPHER MEYER. | Made a great fortune of several millions in manufacturing rubber goods, and in investments in stocks and securities.
NEW JERSEY | NEW-BRUNSWICK | S. COVAS. | Made by importation of merchandise in New-York City.
NEW JERSEY | ORANGE | OLIVER S. CARTER. | Importing tea and coffee in New-York, and banking, insurance and other stocks. Director in the Home Insurance Company, National Bank of the Republic.
NEW JERSEY | ORANGE | AARON CARTER. | Jewelry business in New-York.
NEW JERSEY | ORANGE | SAMUEL LORD. | Wholesale and retail drygoods in New-York City.
NEW JERSEY | ORANGE | SAMUEL COLGATE (of Colgate & Co.). | Made in manufacturing fine soap.
NEW JERSEY | ORANGE | HENRY GRAVES. | Banking and brokerage business and speculation. Is in several railroads.
NEW JERSEY | ORANGE | MRS. JOHN S. TILNEY. | Inherited from her father, Israel Sheldon. Made in Western lands and gas stocks.
NEW JERSEY | ORANGE | JOSEPH W. STICKLER. | The owner of a large fortune, made by inheritance of valuable real estate on Broad-st. and Exchange Place, New-York City, other real estate in Hoboken and Orange, and bank stocks and securities. He has added considerably to his inheritance by his own good management.
NEW JERSEY | ORANGE | JOHN WATSON. | Made in tanning and cotton business in New-York City and investment of accumulations in real estate.
NEW JERSEY | ORANGE | WM. G. BOULTON (Boulton, Bliss & Dallett). | Trade with South America and “Red D” line of steamers.
NEW JERSEY | PASSAIC | PETER REID (of Reid & Barry). | Fortune made during the past twenty years in dyeing prints and calicos.
NEW JERSEY | PASSAIC | HENRY A. BARRY (of Reid & Barry). | Made in dyeing prints and calicos.
NEW JERSEY | PASSAIC | MOSES E. WORTHEN (of Worthen & Aldrich). | Manufacturing satinets.
NEW JERSEY | PASSAIC | F. A. SOULE. | Made in inherited real estate and ship owning.
NEW JERSEY | PASSAIC | F. W. SOULE. | Made in inherited real estate and ship owning.
NEW JERSEY | PASSAIC | JOHN M. HOWE. | Real estate.
NEW JERSEY | PASSAIC | EDO KIPP. | Made in real estate.
NEW JERSEY | PASSAIC | MRS. RUTH SCHULTING. | From her husband. Made first in drygoods, then in real estate.
NEW JERSEY | PATERSON | W. G. FENNER (of the New-York Auction House of Field, Chapman & Fenner). | Auctioneering drygoods.
NEW JERSEY | PATERSON | MRS. MARY E. RYLE. | Inherited from her husband, William Ryle, and her father, Charles Danforth. Made in the importation of raw silk.
NEW JERSEY | PATERSON | CHARLES RYLE DANFORTH. | Importation of raw silk.
NEW JERSEY | PATERSON | WILLIAM T. RYLE. | From his father, William Ryle. Made in importing raw silk.
NEW JERSEY | PATERSON | ROBERT BARBOUR (of the Barbour Flax Spinning Company and the Barbour Bros. Co.). | Made in manufacturing flax.
NEW JERSEY | PATERSON | JACOB S. ROGERS (of the Rogers Locomotive and Machine Works). | Made many millions in the building of locomotives.
NEW JERSEY | PATERSON | W. T. A. STRANGE. | Made in silk manufacturing.
